session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61522ba23d4e63849e85cfe6,masked_for_anonoymity,APPROVED,2021-09-27T20:37:56.612Z,2021-09-27T20:49:41.339Z,704.727,46,82,0,100,2021-09-28T11:09:09.852Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61522ba399bda63b1e997256,masked_for_anonoymity,RETURNED,2021-09-27T20:39:07.611Z,,1269667.072904,20,99,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522baff789beb2dd29f0bf,masked_for_anonoymity,APPROVED,2021-09-27T20:38:10.904Z,2021-09-27T21:03:45.343Z,1534.439,29,55,0,100,2021-09-28T11:09:09.950Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522bb88d591fc7e66eece2,masked_for_anonoymity,APPROVED,2021-09-27T20:38:22.475Z,2021-09-27T21:03:48.555Z,1526.08,46,53,1,100,2021-09-28T11:09:10.015Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61522bb9ac63acf8e924ea4b,masked_for_anonoymity,APPROVED,2021-09-27T20:38:20.961Z,2021-09-27T21:29:47.211Z,3086.25,24,35,0,100,2021-09-28T11:09:10.091Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522bca8ab596df27abb4ae,masked_for_anonoymity,TIMED-OUT,2021-09-27T20:38:43.585Z,,1269691.17987,30,20,1,99,,"",Cuba,Netherlands,Unemployed (and job seeking),Spanish,Spain,Male,No
61522bcbe777007a4643a35b,masked_for_anonoymity,APPROVED,2021-09-27T20:38:38.191Z,2021-09-27T21:15:38.072Z,2219.881,26,48,0,100,2021-09-28T11:09:10.170Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,Ireland,Female,No
61522bd57189f8cb9dde5324,masked_for_anonoymity,RETURNED,2021-09-27T20:38:49.952Z,,1269684.845479,37,195,1,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522bf4914f86b2d323216d,masked_for_anonoymity,APPROVED,2021-09-27T20:39:20.307Z,2021-09-27T20:57:29.666Z,1089.359,21,60,1,100,2021-09-28T11:09:10.246Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522bf8acc03ff98208b7ef,masked_for_anonoymity,RETURNED,2021-09-27T20:39:22.307Z,,1269652.531931,24,70,1,99,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
