session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5f59f2503b10e402162d606a,masked_for_anonoymity,APPROVED,2020-09-10T09:31:02.890Z,2020-09-10T09:33:21.296Z,138.406,21,1,0,100,2020-09-11T07:55:20.498Z,807F37DE,DATA EXPIRED,United Kingdom,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
5f59f2583817c00273ca399b,masked_for_anonoymity,RETURNED,2020-09-10T09:31:07.857Z,,34313417.452463,30,177,4,98,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f59f25a76a745026cf15520,masked_for_anonoymity,APPROVED,2020-09-10T09:31:13.489Z,2020-09-10T09:58:57.178Z,1663.689,23,11,2,86,2020-09-11T07:55:22.256Z,807F37DE,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5f59f264fbf10602c8da92dd,masked_for_anonoymity,APPROVED,2020-09-10T09:31:21.971Z,2020-09-10T10:15:57.601Z,2675.63,51,212,1,100,2020-09-11T07:55:24.533Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
5f59f2687b27850270fa510e,masked_for_anonoymity,APPROVED,2020-09-10T09:31:20.287Z,2020-09-10T09:40:19.374Z,539.087,45,39,0,100,2020-09-11T07:55:26.812Z,807F37DE,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5f59f2b9f7e0490267e6d82c,masked_for_anonoymity,RETURNED,2020-09-10T09:32:43.641Z,,34313321.759341,26,88,2,97,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f59f2d02e4025021852776a,masked_for_anonoymity,APPROVED,2020-09-10T09:33:06.307Z,2020-09-10T09:55:47.658Z,1361.351,20,377,0,100,2020-09-11T07:55:29.169Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5f59f3185337af0283fd49b3,masked_for_anonoymity,TIMED-OUT,2020-09-10T09:34:28.721Z,,34313216.725359,36,63,1,100,,"",United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
5f59f32f7732a2021f9c8540,masked_for_anonoymity,APPROVED,2020-09-10T09:34:39.658Z,2020-09-10T10:00:42.339Z,1562.681,28,32,0,100,2020-09-11T07:55:31.399Z,807F37DE,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
5f59f330564c560214e25690,masked_for_anonoymity,APPROVED,2020-09-10T09:35:21.876Z,2020-09-10T10:17:54.808Z,2552.932,30,334,2,100,2020-09-11T07:55:33.565Z,807F37DE,Sweden,United Kingdom,Other,Swedish,Sweden,Female,Yes
